VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-05-01 00:02:28,2020-05-01 00:18:07,1,.00,1,N,234,256,1,12.2,3,0.5,2.4,0,0.3,18.4,2.5
1,2020-05-01 00:23:21,2020-05-01 00:26:01,2,.40,1,N,264,264,1,4,0.5,0.5,0.5,0,0.3,5.8,0
1,2020-05-01 00:54:58,2020-05-01 00:57:11,1,.30,1,N,264,264,2,3.5,0.5,0.5,0,0,0.3,4.8,0
1,2020-05-01 00:07:10,2020-05-01 00:12:46,1,1.70,1,N,107,229,2,7,3,0.5,0,0,0.3,10.8,2.5
1,2020-05-01 00:55:47,2020-05-01 01:01:54,0,.90,1,N,237,262,1,6,3,0.5,1.2,0,0.3,11,2.5
1,2020-05-01 00:38:37,2020-05-01 01:03:08,0,12.00,1,N,140,28,1,35.5,3,0.5,0,0,0.3,39.3,2.5
1,2020-05-01 00:09:46,2020-05-01 00:27:44,1,2.90,1,N,79,237,2,12,3,0.5,0,0,0.3,15.8,2.5
1,2020-05-01 00:22:48,2020-05-01 00:28:58,1,1.50,1,N,140,263,1,7,3,0.5,2.15,0,0.3,12.95,2.5
1,2020-05-01 00:57:59,2020-05-01 01:07:48,1,2.00,1,N,140,230,2,9,3,0.5,0,0,0.3,12.8,2.5
1,2020-05-01 00:10:53,2020-05-01 00:14:17,1,.50,1,N,239,239,2,4.5,3,0.5,0,0,0.3,8.3,2.5
2,2020-05-01 00:09:47,2020-05-01 00:22:19,1,3.37,1,N,151,244,1,13,0.5,0.5,3.58,0,0.3,17.88,0
2,2020-05-01 00:38:40,2020-05-01 00:46:03,1,1.41,1,N,152,41,2,7,0.5,0.5,0,0,0.3,8.3,0
2,2020-05-01 00:32:15,2020-05-01 00:37:49,1,1.06,1,N,107,137,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-05-01 00:53:37,2020-05-01 01:01:31,1,.73,1,N,48,163,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-05-01 00:02:28,2020-05-01 00:07:35,1,.90,1,N,143,239,1,5.5,0.5,0.5,1.4,0,0.3,10.7,2.5
2,2020-05-01 00:19:13,2020-05-01 00:23:19,1,.75,1,N,48,48,1,5,0.5,0.5,1,0,0.3,9.8,2.5
1,2020-05-01 00:15:33,2020-05-01 00:20:48,1,2.40,1,N,263,170,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
